,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
56,56,annual_inc:30K-40K,-0.005533995557889602,0.8904890246175186,annual_inc,-0.42669496727382955,-0.0,0.42669496727382955,-0.0
57,57,annual_inc:40K-50K,0.08931029067881119,0.026067328469572028,annual_inc,6.8862092785893365,7.0,0.11379072141066349,7.0
58,58,annual_inc:50K-60K,0.15633493224309108,0.00012077661831189367,annual_inc,12.054098724766787,12.0,-0.05409872476678679,12.0
59,59,annual_inc:60K-70K,0.23173620063667705,2.5523144990694734e-08,annual_inc,17.867862290900867,18.0,0.13213770909913336,18.0
60,60,annual_inc:70K-80K,0.3062436611640177,5.402129790611352e-13,annual_inc,23.612709408829108,24.0,0.38729059117089193,24.0
61,61,annual_inc:80K-90K,0.3803104763454362,7.968175366787305e-18,annual_inc,29.323580866767962,29.0,-0.32358086676796205,29.0
62,62,annual_inc:90K-100K,0.4007609306097818,2.1664926455362633e-18,annual_inc,30.900399247227163,31.0,0.09960075277283664,31.0
63,63,annual_inc:100K-120K,0.4793893162043773,4.984334662422836e-26,annual_inc,36.962987492396344,37.0,0.03701250760365582,37.0
64,64,annual_inc:120K-140K,0.5770452365467582,7.341081759972417e-29,annual_inc,44.49268087554004,44.0,-0.4926808755400387,44.0
65,65,annual_inc:>140K,0.5053001043629908,1.3481626814379528e-26,annual_inc,38.96082120760716,39.0,0.03917879239283906,39.0
66,66,dti:<=1.4,0.25254238420879166,0.002330160378883596,dti,19.472108937926063,19.0,-0.47210893792606257,19.0
67,67,dti:1.4-3.5,0.37150208970758414,8.811997763136731e-08,dti,28.644416200143834,29.0,0.3555837998561664,29.0
68,68,dti:3.5-7.7,0.3892188489109533,6.67772159593698e-11,dti,30.010454880406673,30.0,-0.010454880406673084,30.0
69,69,dti:7.7-10.5,0.3246304443468436,4.306794020319984e-08,dti,25.030409832762736,25.0,-0.03040983276273579,25.0
70,70,dti:10.5-16.1,0.24525449130714938,1.8255932812238094e-05,dti,18.91018090769336,19.0,0.08981909230664087,19.0
71,71,dti:16.1-20.3,0.14390861986342213,0.012074833773511382,dti,11.095976352113627,11.0,-0.09597635211362743,11.0
72,72,dti:20.3-21.7,0.13274332731275845,0.027110038924428998,dti,10.235084056543194,10.0,-0.23508405654319375,10.0
73,73,dti:21.7-22.4,0.0974944325740078,0.12889142089643044,dti,7.517241978490351,8.0,0.48275802150964875,8.0
74,74,dti:22.4-35,0.054606621641517215,0.33541353947568775,dti,4.210406457779524,4.0,-0.21040645777952438,4.0
75,75,mths_since_last_delinq:Missing,0.16752967349615364,0.000399394357158126,mths_since_last_delinq,12.917261642526002,13.0,0.08273835747399794,13.0
76,76,mths_since_last_delinq:4-30,0.19226959393975337,6.766861408269313e-05,mths_since_last_delinq,14.824816398147206,15.0,0.1751836018527939,15.0
77,77,mths_since_last_delinq:31-56,0.23903600813693437,1.034442185336583e-06,mths_since_last_delinq,18.4307089881641,18.0,-0.4307089881640991,16.0
78,78,mths_since_last_delinq:>=57,0.19177476037771365,0.00013795336964135364,mths_since_last_delinq,14.786662592573672,15.0,0.21333740742632834,15.0
79,79,mths_since_last_record:Missing,0.10272845778827949,2.7555944148031763e-06,mths_since_last_record,7.920807936242175,8.0,0.07919206375782473,8.0
80,80,mths_since_last_record:3-20,0.2128146429365432,0.023584241743996873,mths_since_last_record,16.40892844117667,16.0,-0.4089284411766698,16.0
81,81,mths_since_last_record:21-31,0.13571625714842214,0.09164775832689605,mths_since_last_record,10.464309791487523,10.0,-0.4643097914875227,10.0
82,82,mths_since_last_record:32-80,0.2866772863662931,1.2512214726395642e-18,mths_since_last_record,22.10405737493292,22.0,-0.10405737493292122,22.0
83,83,mths_since_last_record:81-86,-0.0498710911484982,0.44556528010545926,mths_since_last_record,-3.845276596794681,-4.0,-0.15472340320531908,-4.0
84,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
85,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
86,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
87,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
88,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
89,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
90,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
91,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
92,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
93,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
94,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
95,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
96,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
97,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
98,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
99,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
100,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
